file_id,line_number,text
DeLaMare1_Ghost,2,"Beyond all dreams to restore,"
DeLaMare1_Ghost,3,"I, from the roots of the dark thorn am hither,"
DeLaMare1_Ghost,4,And knock on the door.’
DeLaMare1_Ghost,5,‘Who speaks?’  ‘I ― once was my speech
DeLaMare1_Ghost,6,Sweet as the bird’s on the air.
DeLaMare1_Ghost,7,When echo lurks by the waters to heed;
DeLaMare1_Ghost,8,’Tis I speak thee fair.’
DeLaMare1_Ghost,9,"‘Dark is the hour!’  ‘Ay, and cold.’"
DeLaMare1_Ghost,10,"‘Lone is my house.’  ‘Ah, but mine?’"
DeLaMare1_Ghost,11,"‘Sight, touch, lips, eyes yearned in vain.’"
DeLaMare1_Ghost,12,‘Long dead these to thine . . . ’
DeLaMare1_Ghost,13,Silence.  Still faint on the porch
DeLaMare1_Ghost,14,Brake the flames of the stars.
DeLaMare1_Ghost,15,In gloom groped a hope-wearied hand
DeLaMare1_Ghost,16,"Over keys, bolts, and bars."
DeLaMare1_Ghost,17,A face peered.  All the grey night
DeLaMare1_Ghost,18,In chaos of vacancy shone;
DeLaMare1_Ghost,19,Nought but vast sorrow was there ―
DeLaMare1_Ghost,20,The sweet cheat gone.
DeLaMare1_Ghost,21,1918
DeLaMare1_Ghost,22,(From Poems 1901 to 1918.  2 vols.  London: Constable and
DeLaMare1_Ghost,23,"Co. Ltd., 1920)"
Ferguson1_Fairy_Thorn,1,"“Get up, our Anna dear, from the weary spinning wheel;"
Ferguson1_Fairy_Thorn,2,"For your father’s on the hill, and your mother is asleep:"
Ferguson1_Fairy_Thorn,3,"Come up above the crags, and we’ll dance a highland reel"
Ferguson1_Fairy_Thorn,4,Around the fairy thorn on the steep.”
Ferguson1_Fairy_Thorn,5,"At Anna Grace’s door ’twas thus the maidens cried,"
Ferguson1_Fairy_Thorn,6,Three merry maidens fair in kirtles of the green;
Ferguson1_Fairy_Thorn,7,"And Anna laid the rock and the weary wheel aside,"
Ferguson1_Fairy_Thorn,8,"The fairest of the four, I ween."
Ferguson1_Fairy_Thorn,9,"They’re glancing through the glimmer of the quiet eve,"
Ferguson1_Fairy_Thorn,10,Away in milky wavings of neck and ankle bare;
Ferguson1_Fairy_Thorn,11,"The heavy-sliding stream in its sleepy song they leave,"
Ferguson1_Fairy_Thorn,12,And the crags in the ghostly air:
Ferguson1_Fairy_Thorn,13,"And linking hand and hand, and singing as they go,"
Ferguson1_Fairy_Thorn,14,"The maids along the hill-side have ta’en their fearless way,"
Ferguson1_Fairy_Thorn,15,Till they come to where the rowan trees in lonely beauty grow
Ferguson1_Fairy_Thorn,16,Beside the Fairy Hawthorn grey.
Ferguson1_Fairy_Thorn,17,"The Hawthorn stands between the ashes tall and slim,"
Ferguson1_Fairy_Thorn,18,Like matron with her twin grand-daughters at her knee;
Ferguson1_Fairy_Thorn,19,The rowan berries cluster o’er her low head grey and dim
Ferguson1_Fairy_Thorn,20,In ruddy kisses sweet to see.
Ferguson1_Fairy_Thorn,21,"The merry maidens four have ranged them in a row,"
Ferguson1_Fairy_Thorn,22,"Between each lovely couple a stately rowan stem,"
Ferguson1_Fairy_Thorn,23,"And away in mazes wavy, like skimming birds they go,"
Ferguson1_Fairy_Thorn,24,"Oh, never carolled bird like them!"
Ferguson1_Fairy_Thorn,25,But solemn is the silence of the silvery haze
Ferguson1_Fairy_Thorn,26,"That drinks away their voices in echoless repose,"
Ferguson1_Fairy_Thorn,27,"And dreamily the evening has stilled the haunted braes,"
Ferguson1_Fairy_Thorn,28,And dreamier the gloaming grows.
Ferguson1_Fairy_Thorn,29,"And sinking one by one, like lark-notes from the sky"
Ferguson1_Fairy_Thorn,30,"When the falcon’s shadow saileth across the open shaw,"
Ferguson1_Fairy_Thorn,31,"Are hushed the maiden’s voices, as cowering down they lie"
Ferguson1_Fairy_Thorn,32,In the flutter of their sudden awe.
Ferguson1_Fairy_Thorn,33,"For, from the air above, and the grassy ground beneath,"
Ferguson1_Fairy_Thorn,34,"And from the mountain-ashes and the old Whitethorn between,"
Ferguson1_Fairy_Thorn,35,"A power of faint enchantment doth through their beings breathe,  35"
Ferguson1_Fairy_Thorn,36,And they sink down together on the green.
Ferguson1_Fairy_Thorn,37,"They sink together silent, and stealing side to side,"
Ferguson1_Fairy_Thorn,38,"They fling their lovely arms o’er their drooping necks so fair,"
Ferguson1_Fairy_Thorn,39,"Then vainly strive again their naked arms to hide,"
Ferguson1_Fairy_Thorn,40,For their shrinking necks again are bare.
Ferguson1_Fairy_Thorn,41,"Thus clasped and prostrate all, with their heads together bowed,"
Ferguson1_Fairy_Thorn,42,Soft o’er their bosoms beating — the only human sound —
Ferguson1_Fairy_Thorn,43,"They hear the silky footsteps of the silent fairy crowd,"
Ferguson1_Fairy_Thorn,44,"Like a river in the air, gliding round."
Ferguson1_Fairy_Thorn,45,"Nor scream can any raise, nor prayer can any say,"
Ferguson1_Fairy_Thorn,46,"But wild, wild, the terror of the speechless three —"
Ferguson1_Fairy_Thorn,47,"For they feel fair Anna Grace drawn silently away,"
Ferguson1_Fairy_Thorn,48,By whom they dare not look to see.
Ferguson1_Fairy_Thorn,49,"They feel their tresses twine with her parting locks of gold,"
Ferguson1_Fairy_Thorn,50,"And the curls elastic falling, as her head withdraws;"
Ferguson1_Fairy_Thorn,51,"They feel her sliding arms from their tranced arms unfold,"
Ferguson1_Fairy_Thorn,52,But they dare not look to see the cause:
Ferguson1_Fairy_Thorn,53,For heavy on their senses the faint enchantment lies
Ferguson1_Fairy_Thorn,54,Through all that night of anguish and perilous amaze;
Ferguson1_Fairy_Thorn,55,And neither fear nor wonder can ope their quivering eyes
Ferguson1_Fairy_Thorn,56,Or their limbs from the cold ground raise.
Ferguson1_Fairy_Thorn,57,"Till out of Night the Earth has rolled her dewy side,"
Ferguson1_Fairy_Thorn,58,With every haunted mountain and streamy vale below;
Ferguson1_Fairy_Thorn,59,"When, as the mist dissolves in the yellow morning tide,"
Ferguson1_Fairy_Thorn,60,The maidens’ trance dissolveth so.
Ferguson1_Fairy_Thorn,61,"Then fly the ghastly three as swiftly as they may,"
Ferguson1_Fairy_Thorn,62,And tell their tale of sorrow to anxious friends in vain —
Ferguson1_Fairy_Thorn,63,"They pined away and died within the year and day,"
Ferguson1_Fairy_Thorn,64,And ne’er was Anna Grace seen again.
Ferguson1_Fairy_Thorn,65,(From The Ballads of Ireland.  Collected and Edited by Edward Hayes.
Ferguson1_Fairy_Thorn,66,"Vol. 2.  London, 1857)"
Ferguson3_Forging_of_Anchor,1,"Come, see the Dolphin’s anchor forged — ’tis at a white heat now:"
Ferguson3_Forging_of_Anchor,2,"The bellows ceased, the flames decreased though on the forge’s brow"
Ferguson3_Forging_of_Anchor,3,"The little flames still fitfully play through the sable mound,"
Ferguson3_Forging_of_Anchor,4,"And fitfully you still may see the grim smiths ranking round,"
Ferguson3_Forging_of_Anchor,5,"All clad in leathern panoply, their broad hands only bare:"
Ferguson3_Forging_of_Anchor,6,"Some rest upon their sledges here, some work the windlass there."
Ferguson3_Forging_of_Anchor,7,"The windlass strains the tackle chains, the black mound heaves below,"
Ferguson3_Forging_of_Anchor,8,And red and deep a hundred veins burst out at every throe:
Ferguson3_Forging_of_Anchor,9,"It rises, roars, rends all outright — O, Vulcan, what a glow!"
Ferguson3_Forging_of_Anchor,10,"’Tis blinding white, ’tis blasting bright — the high sun shines not so!"
Ferguson3_Forging_of_Anchor,11,"The high sun sees not, on the earth, such fiery fearful show,"
Ferguson3_Forging_of_Anchor,12,"The roof-ribs swarth, the candent hearth, the ruddy lurid row"
Ferguson3_Forging_of_Anchor,13,"Of smiths that stand, an ardent band, like men before the foe,"
Ferguson3_Forging_of_Anchor,14,"As, quivering through his fleece of flame, the sailing monster, slow"
Ferguson3_Forging_of_Anchor,15,Sinks on the anvil: — all about the faces fiery grow;
Ferguson3_Forging_of_Anchor,16,"“Hurrah!” they shout, “leap out — leap out;” bang, bang the sledges go:"
Ferguson3_Forging_of_Anchor,17,Hurrah! the jetted lightnings are hissing high and low —
Ferguson3_Forging_of_Anchor,18,A hailing fount of fire is struck at every squashing blow;
Ferguson3_Forging_of_Anchor,19,"The leathern mail rebounds the hail, the rattling cinders strow"
Ferguson3_Forging_of_Anchor,20,"The ground around; at every bound the sweltering fountains flow,"
Ferguson3_Forging_of_Anchor,21,And thick and loud the swinking crowd at every stroke pant “ho!”
Ferguson3_Forging_of_Anchor,22,"Leap out, leap out, my masters; leap out and lay on load!"
Ferguson3_Forging_of_Anchor,23,Let’s forge a goodly anchor — a bower thick and broad;
Ferguson3_Forging_of_Anchor,24,"For a heart of oak is hanging on every blow, I bode:"
Ferguson3_Forging_of_Anchor,25,I see the good ship riding all in a perilous road —
Ferguson3_Forging_of_Anchor,26,The low reef roaring on her lee — the roll of ocean pour’d
Ferguson3_Forging_of_Anchor,27,"From stem to stern, sea after sea, the mainmast by the board,"
Ferguson3_Forging_of_Anchor,28,"The bulwarks down, the rudder gone, the boats stove at the chains!"
Ferguson3_Forging_of_Anchor,29,"But courage still, brave mariners — the bower yet remains,"
Ferguson3_Forging_of_Anchor,30,"And not an inch to flinch he deigns, save when ye pitch sky high;"
Ferguson3_Forging_of_Anchor,31,"Then moves his head, as though he said, “Fear nothing — here am I.”"
Ferguson3_Forging_of_Anchor,32,"Swing in your strokes in order, let foot and hand keep time;"
Ferguson3_Forging_of_Anchor,33,Your blows make music sweeter far than any steeple’s chime:
Ferguson3_Forging_of_Anchor,34,"But, while you sling your sledges, sing — and let the burthen be,"
Ferguson3_Forging_of_Anchor,35,"The anchor is the anvil-king, and royal craftsmen we!"
Ferguson3_Forging_of_Anchor,36,"Strike in, strike in — the sparks begin to dull their rustling red;"
Ferguson3_Forging_of_Anchor,37,"Our hammers ring with sharper din, our work will soon be sped."
Ferguson3_Forging_of_Anchor,38,"Our anchor soon must change his bed of fiery rich array,"
Ferguson3_Forging_of_Anchor,39,"For a hammock at the roaring bows, or an oozy couch of clay;"
Ferguson3_Forging_of_Anchor,40,"Our anchor soon must change the lay of merry craftsmen here,"
Ferguson3_Forging_of_Anchor,41,"For the yeo-heave-o’, and the heave-away, and the sighing seaman’s cheer;"
Ferguson3_Forging_of_Anchor,42,"When, weighing slow, at eve they go — far, far from love and home;"
Ferguson3_Forging_of_Anchor,43,"And sobbing sweethearts, in a row, wail o’er the ocean foam."
Ferguson3_Forging_of_Anchor,44,In livid and obdurate gloom he darkens down at last:
Ferguson3_Forging_of_Anchor,45,"A shapely one he is, and strong, as e’er from cat was cast:"
Ferguson3_Forging_of_Anchor,46,"O trusted and trustworthy guard, if thou hadst life like me,"
Ferguson3_Forging_of_Anchor,47,What pleasures would thy toils reward beneath the deep green sea!
Ferguson3_Forging_of_Anchor,48,"O deep-Sea-diver, who might then behold such sights as thou?"
Ferguson3_Forging_of_Anchor,49,The hoary monster’s palaces! methinks what joy ’twere now
Ferguson3_Forging_of_Anchor,50,"To go plumb plunging down amid the assembly of the whales,"
Ferguson3_Forging_of_Anchor,51,And feel the churn’d sea round me boil beneath their scourging tails!
Ferguson3_Forging_of_Anchor,52,"Then deep in tangle-woods to fight the fierce sea unicorn,"
Ferguson3_Forging_of_Anchor,53,"And send him foil’d and bellowing back, for all his ivory horn:"
Ferguson3_Forging_of_Anchor,54,To leave the subtle sworder-fish of bony blade forlorn;
Ferguson3_Forging_of_Anchor,55,"And for the ghastly-grinning shark, to laugh his jaws to scorn:"
Ferguson3_Forging_of_Anchor,56,"To leap down on the kraken’s back, where ’mid Norwegian isles"
Ferguson3_Forging_of_Anchor,57,"He lies, a lubber anchorage for sudden shallow’d miles;"
Ferguson3_Forging_of_Anchor,58,"Till snorting, like an under-sea volcano, off he rolls;"
Ferguson3_Forging_of_Anchor,59,"Meanwhile to swing, a-buffeting the far astonished shoals"
Ferguson3_Forging_of_Anchor,60,"Of his back-browsing ocean-calves; or, haply, in a cove,"
Ferguson3_Forging_of_Anchor,61,"Shell-strown, and consecrate of old to some Undiné’s love,"
Ferguson3_Forging_of_Anchor,62,"To find the long-hair’d mermaidens; or, hard by icy lands,"
Ferguson3_Forging_of_Anchor,63,"To wrestle with the Sea-serpent, upon cerulean sands."
Ferguson3_Forging_of_Anchor,64,"O broad-arm’d Fisher of the deep, whose sports can equal thine?"
Ferguson3_Forging_of_Anchor,65,"The Dolphin weighs a thousand tons, that tugs thy cable line;"
Ferguson3_Forging_of_Anchor,66,"And night by night, ’tis thy delight, thy glory day by day,"
Ferguson3_Forging_of_Anchor,67,Through sable sea and breaker white the giant game to play —
Ferguson3_Forging_of_Anchor,68,But shamer of our little sports! forgive the name I gave —
Ferguson3_Forging_of_Anchor,69,A fisher’s joy is to destroy — thine office is to save.
Ferguson3_Forging_of_Anchor,70,"O lodger in the sea-kings’ halls, couldst thou but understand"
Ferguson3_Forging_of_Anchor,71,"Whose be the white bones by thy side, or who that dripping band,"
Ferguson3_Forging_of_Anchor,72,"Slow swaying in the heaving wave, that round about thee bend,"
Ferguson3_Forging_of_Anchor,73,With sounds like breakers in a dream blessing their ancient friend —
Ferguson3_Forging_of_Anchor,74,"Oh, couldst thou know what heroes glide with larger steps round thee,"
Ferguson3_Forging_of_Anchor,75,Thine iron side would swell with pride; thou’dst leap within the sea!
Ferguson3_Forging_of_Anchor,76,"Give honour to their memories who left the pleasant strand,"
Ferguson3_Forging_of_Anchor,77,To shed their blood so freely for the love of Fatherland —
Ferguson3_Forging_of_Anchor,78,"Who left their chance of quiet age and grassy churchyard grave,"
Ferguson3_Forging_of_Anchor,79,"So freely, for a restless bed amid the tossing wave —"
Ferguson3_Forging_of_Anchor,80,"Oh, though our anchor may not be all I have fondly sung,"
Ferguson3_Forging_of_Anchor,81,"Honour him for their memory, whose bones he goes among!"
Ferguson3_Forging_of_Anchor,82,(From Poems of Sir Samuel Ferguson.  With an Introduction by Alfred Perceval
Ferguson3_Forging_of_Anchor,83,"Graves.  Dublin: The Talbot Press, n. d.)"
